image_id,species_id,common_name,scientific_name,filename,commons_title,license,license_url,artist,credit,source_url,thumb_url,file_size_bytes
81,21,Hochstetter's Frog,Leiopelma hochstetteri,hochstetter_s_frog_3f222f.jpg,File:Leiopelma hochstetteri.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Reallyoriginalusername,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/68/Leiopelma_hochstetteri.jpg/500px-Leiopelma_hochstetteri.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,56006
82,21,Hochstetter's Frog,Leiopelma hochstetteri,hochstetter_s_frog_398138.jpg,File:Leiopelma hochstetteri 150024938.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Oscar Dove,https://www.inaturalist.org/photos/150024938,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/Leiopelma_hochstetteri_150024938.jpg/500px-Leiopelma_hochstetteri_150024938.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,55449
83,22,Longfin Eel,Anguilla dieffenbachii,longfin_eel_eabbee.jpg,File:Anguilla dieffenbachii 23711946.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,nick_goldwater,https://www.inaturalist.org/photos/23711946,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f1/Anguilla_dieffenbachii_23711946.jpg/500px-Anguilla_dieffenbachii_23711946.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,52304
84,22,Longfin Eel,Anguilla dieffenbachii,longfin_eel_653a25.jpg,File:Anguilla dieffenbachii 247150587.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Squeegie,https://www.inaturalist.org/photos/247150587,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2c/Anguilla_dieffenbachii_247150587.jpg/500px-Anguilla_dieffenbachii_247150587.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,60840
85,23,Giant Kokopu,Galaxias argenteus,giant_kokopu_0af86e.jpg,"File:25cm giant kokopu (Galaxias argenteus) from Wainui Stream, Paekakariki. Photo by Stella McQueen.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,StellaMcQ,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/25cm_giant_kokopu_%28Galaxias_argenteus%29_from_Wainui_Stream%2C_Paekakariki._Photo_by_Stella_McQueen.jpg/500px-25cm_giant_kokopu_%28Galaxias_argenteus%29_from_Wainui_Stream%2C_Paekakariki._Photo_by_Stella_McQueen.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,57423
86,23,Giant Kokopu,Galaxias argenteus,giant_kokopu_190623.jpg,File:Galaxias argenteus 254943046.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Christopher Stephens,https://www.inaturalist.org/photos/254943046,,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0e/Galaxias_argenteus_254943046.jpg/500px-Galaxias_argenteus_254943046.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,49801
87,24,Black Stilt / Kaki,Himantopus novaezelandiae,black_stilt_kaki_9c4435.jpg,File:Black Stilt 0A2A2016.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,JJ Harrison,Own work,,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2d/Black_Stilt_0A2A2016.jpg/500px-Black_Stilt_0A2A2016.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,22220
88,24,Black Stilt / Kaki,Himantopus novaezelandiae,black_stilt_kaki_2521e3.jpg,File:Black Stilt juv - South Island - New Zealand (38506915434).jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Francesco Veronesi from Italy,Black Stilt juv - South Island - New Zealand_FJ0A4854,,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fa/Black_Stilt_juv_-_South_Island_-_New_Zealand_%2838506915434%29.jpg/500px-Black_Stilt_juv_-_South_Island_-_New_Zealand_%2838506915434%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,68934
89,25,Blue Duck / Whio,Hymenolaimus malacorhynchos,blue_duck_whio_745bb7.jpg,File:Hymenolaimus malacorhynchos 1183003.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Jon Sullivan,https://www.inaturalist.org/photos/1183003,,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/34/Hymenolaimus_malacorhynchos_1183003.jpg/500px-Hymenolaimus_malacorhynchos_1183003.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,88722
90,25,Blue Duck / Whio,Hymenolaimus malacorhynchos,blue_duck_whio_ceba38.jpg,File:Hymenolaimus malacorhynchos 1210017.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,John Barkla,https://www.inaturalist.org/photos/1210017,,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/Hymenolaimus_malacorhynchos_1210017.jpg/500px-Hymenolaimus_malacorhynchos_1210017.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,49126
